Date,Time,VSpd(m/s),Alt(m),A2(V),RSSI(dB),RxBt(V),Cels(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-10-11,15:28:22.030,0.0,-0.4,8.0,100,4.1,0.00,0,1,-1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:22.530,0.0,-0.4,8.0,97,4.1,0.00,0,1,-1024,-1,-532,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:23.030,0.0,-0.4,8.1,99,4.1,0.00,1,1,-1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:23.530,0.0,-0.4,8.2,100,4.1,0.00,1,0,-1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:24.030,-0.1,-0.5,8.0,98,4.1,0.00,1,1,-1024,-1,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:24.530,0.0,-0.5,8.1,98,4.1,0.00,0,1,-1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:25.030,0.1,-0.4,8.1,99,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:25.530,0.0,-0.4,8.6,98,4.1,0.00,1,0,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:26.030,0.0,-0.5,8.4,99,4.1,0.00,1,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:26.530,0.0,-0.5,8.5,99,4.1,0.00,1,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:27.040,0.0,-0.4,8.3,98,4.1,0.00,0,1,-1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:27.540,0.1,-0.4,8.2,98,4.1,0.00,1,1,-1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:28.050,0.0,-0.4,8.2,98,4.1,0.00,0,1,-1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:28.550,0.0,-0.4,8.2,99,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:29.050,0.0,-0.4,8.2,99,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:29.550,0.0,-0.3,8.1,100,4.1,0.00,1,0,-1024,0,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:30.050,0.0,-0.4,8.2,99,4.1,0.00,0,0,-1024,-1,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:30.550,0.0,-0.5,8.0,99,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:31.050,0.0,-0.5,8.3,98,4.1,0.00,1,0,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:31.550,0.0,-0.4,8.4,97,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:32.050,0.0,-0.4,8.3,97,4.1,0.00,1,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:32.550,-0.1,-0.6,8.2,98,4.1,0.00,1,0,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:33.050,0.0,-0.5,7.8,98,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:33.550,0.0,-0.6,8.1,98,4.1,0.00,0,0,-1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:34.050,0.0,-0.5,8.1,99,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:34.550,0.0,-0.5,8.3,100,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:35.050,0.0,-0.6,8.1,99,4.1,0.00,1,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:35.550,0.0,-0.6,7.9,98,4.1,0.00,0,1,-1024,0,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:36.050,-0.1,-0.6,7.8,98,4.1,0.00,0,0,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:36.550,0.0,-0.6,7.8,99,4.1,0.00,1,1,-1024,0,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:37.050,0.0,-0.6,7.9,99,4.1,0.00,0,1,-1024,0,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
